WB1M,WB1Y,WB2,WB3,WB4,WB5,WB7,WAGE,WB8,MT6,MT9,MT10,MT13A,MT13B,MT13C,MT13D,MT13E,MT13X,CM1,CM5A,CM5B,CM6,CM7A,CM7B,CM8,CM9A,CM9B,CM10,CM12M,DB1,DB2,MN20,MN24,CP1,CP2,CP2A,CP5,DV1A,DV1B,DV1C,DV1D,DV1E,DV1F,DV1G,DV1H,DV1I,MA1,MA5,MA6,MA8M,MA8Y,MA9,SB1,SB14,SB15,HA1,HA2,HA3,HA4,HA5,HA6,HA7,HA8A,HA8B,HA8C,HA8BB,HA9,HA9A,HA10,HA11,HA12,HA12A,HA12B,HA12C,HA12D,HH7,WAGEM,MSTATUS,CEB,CSURV,CDEAD,wmweight,welevel,wscore,windex5
6,1998,16,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.7458347648404273,Secondary,.4583556371537218,Fourth
9,1996,17,Yes,Primary,7,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,Yes,0,1,No,,,No,,,1,5,,,,,"Yes, currently pregnant",,Yes,,No,No,No,No,No,No,Yes,Yes,Yes,"Yes, living with a man",,,2,2014,,15,,1,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,17,Currently married/in union,1,1,0,.4935066870007909,Primary,-.3409084577899746,Second
3,1995,19,Yes,High,2,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,"No, not in union",No,,,,,18,,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DK / Not sure / Depends,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,.4935066870007909,Higher,1.436057152851718,Richest
1,1997,17,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,Missing,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,1.142669132300167,Secondary,.3199363177266215,Fourth
5,1999,15,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,1.142669132300167,Secondary,-.0064560385384688,Middle
9,1998,15,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,Yes,Yes,No,No,No,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,1.142669132300167,Secondary,-.5478933098768632,Second
12,1994,19,Yes,High,2,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.142669132300167,Higher,-.7757348147807912,Second
9,1997,16,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,DK / Not sure / Depends,DK / Not sure / Depends,Hhohho,,Never married/in union,0,0,0,1.142791999948801,Secondary,-.350209973233061,Second
6,1997,17,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.142791999948801,Secondary,-.2712878703785038,Middle
1,1995,19,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,Yes, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,Yes,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.017753689521833,Secondary,.0553878819769407,Middle
9,1998,15,Yes,Secondary,0,,15-19,Christianity,No,Yes,Yes,A, , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,1.025023358732703,Secondary,-.1328795206807185,Middle
11,1996,17,Yes,Secondary,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,DK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.025023358732703,Secondary,.2910545074685624,Middle
1,1999,15,Yes,Secondary,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,Yes,No,No,Yes,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.025023358732703,Secondary,.2910545074685624,Middle
8,1997,17,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,No,No,No,Yes,Yes,No,No,DK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.025023358732703,Secondary,-.1134934142607711,Middle
8,1997,17,Yes,Primary,5,Able to read whole sentence,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,DK,No,Yes,No,Yes,Yes,Yes,No,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,1.025023358732703,Primary,-.1134934142607711,Middle
5,1996,18,Yes,High,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,DK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.025023358732703,Higher,-.0980891379001546,Middle
2,1996,18,Yes,Primary,7,Able to read only parts of sentence,15-19,Christianity,No,No,, , , , , , ,Yes,1,1,No,,,No,,,2,3,Yes,,Average,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,No,No,No,No,No,"Yes, living with a man",,,4,2013,,First time when started living with partner,,1,Yes,Yes,No,Yes,No,No,No,DK,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,17,Currently married/in union,2,2,0,1.025023358732703,Primary,-.7290181680435479,Second
10,1995,18,No,,,Cannot read at all,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,Yes,Yes,DK,DK,DK,,Yes,Yes,Yes,No,Yes,DK / Not sure / Depends,DK / Not sure / Depends,Yes,No,Hhohho,,Never married/in union,0,0,0,1.025023358732703,None,-.7290181680435479,Second
6,1999,15,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,Yes,Yes,No,No,Yes,DK,No,No,,Yes,Yes,Yes,No,DK / Not sure / Depends,No,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.025023358732703,Secondary,-.7290181680435479,Second
7,1998,16,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.025023358732703,Secondary,-.8730875460291296,Second
8,1998,16,Yes,Secondary,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,No,No,Yes,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.128936865688084,Secondary,.3681550260099597,Fourth
3,1996,18,Yes,Primary,3,Able to read only parts of sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,No,No,No,No,No,No,No,"Yes, living with a man",,,2,2014,,18,,1,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,17,Currently married/in union,0,0,0,1.128936865688084,Primary,-.9051118028161875,Poorest
2,1998,16,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,Yes, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,1.128936865688084,Secondary,.448910119529962,Fourth
10,1998,15,Yes,Primary,3,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,DK,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,No,No,DK,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.9902468330482702,Primary,-1.129232952471981,Poorest
5,1997,17,Yes,Primary,6,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,Yes,,No,No,No,Yes,No,Yes,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.9902468330482702,Primary,.2933388712596713,Middle
11,1998,15,Yes,Primary,6,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,No,Yes,Yes,No,DK,Yes,Yes,Yes,Yes,Yes,No,No,No,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.9902468330482702,Primary,.2933388712596713,Middle
4,1996,18,Yes,Primary,5,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,.9902468330482702,Primary,-.5398411790183351,Second
8,1995,19,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,Yes,A, , , , , ,Yes,0,1,No,,,No,,,1,9,No,Later,Smaller than average,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,18,,2,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,1,1,0,.9902468330482702,Secondary,-.4200765343951227,Second
5,1997,17,Yes,Secondary,1,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,DK,Yes,Yes,Yes,No,Yes,Yes,DK / Not sure / Depends,Missing,No,Hhohho,,Never married/in union,0,0,0,.8487829997556597,Secondary,-.5885772466003667,Second
1,1997,17,Yes,Secondary,1,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,"Yes, currently pregnant",,Yes,,No,No,No,No,No,Yes,Yes,No,No,"No, not in union",No,,,,,16,,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,DK,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,Hhohho,,Never married/in union,0,0,0,.8487829997556597,Secondary,-.5896640644137343,Second
11,1997,16,Yes,Primary,6,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,Yes,,,No,,,Yes,0,1,1,3,Yes,,Average,No,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,14,,2,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,1,0,1,.8487829997556597,Primary,-.5796121320281282,Second
11,1997,16,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,Yes,A,B,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.3854615302507939,Secondary,1.85093861505161,Richest
8,1998,16,Yes,High,0,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,DK,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.3854615302507939,Higher,1.738292211802433,Richest
3,1995,19,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,Yes,A, ,C,D,E, ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,Yes,DK,Yes,No,Yes,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.284308227253742,Secondary,-.5185234151868692,Second
3,1998,16,Yes,Primary,5,Able to read only parts of sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,1.284308227253742,Primary,-.9614076846577657,Poorest
9,1996,17,Yes,Secondary,2,,15-19,Christianity,No,No,, , , , , , ,Yes,0,1,No,,,No,,,1,7,No,Later,Average,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,16,,1,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,1,1,0,1.284308227253742,Secondary,-1.608020187278214,Poorest
2,1997,17,Yes,Primary,5,Able to read only parts of sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,Yes,Yes,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,DK / Not sure / Depends,No,Yes,Yes,DK / Not sure / Depends,Hhohho,,Never married/in union,0,0,0,1.284308227253742,Primary,-1.608020187278214,Poorest
10,1998,15,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,No,No,Yes,No,Yes,No,No,"No, not in union",No,,,,,14,,1,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,No,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.284308227253742,Secondary,-1.608020187278214,Poorest
8,1996,18,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,DK / Not sure / Depends,No,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.284308227253742,Secondary,.0121789783977078,Middle
11,1995,18,Yes,High,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,Yes,No,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Hhohho,,Never married/in union,0,0,0,1.284308227253742,Higher,.0121789783977078,Middle
6,1998,16,Yes,Secondary,1,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.284308227253742,Secondary,.2700802257106277,Middle
3,1996,18,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,DK,No,No,DK,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,No,Yes,DK,DK,Yes,Yes,Yes,No,DK / Not sure / Depends,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,1.027712140495628,Secondary,-.2208553939711863,Middle
6,1998,16,Yes,Primary,7,Able to read whole sentence,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,Yes,No,Yes,Yes,Yes,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,DK,Yes,No,Yes,Yes,DK,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.027712140495628,Primary,-.2208553939711863,Middle
3,1999,15,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,"No, not in union",No,,,,,13,,2,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.027712140495628,Secondary,-.2208553939711863,Middle
8,1994,19,Yes,Tertiary,0,,15-19,Christianity,Yes,Yes,Yes,A, , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,DK,No,DK,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.027712140495628,Tertiary,-.4503102242322425,Second
11,1994,19,Yes,Primary,5,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,Yes,1,0,Yes,1,0,No,,,2,5,Yes,,Very large,Yes,No,Yes,,Yes,No,Yes,No,No,No,No,Yes,No,No,"Yes, currently married",,,12,2013,,13,,3,Yes,No,No,Yes,DK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Hhohho,19,Currently married/in union,2,2,0,1.027712140495628,Primary,-.7217512319977026,Second
